vodFileVersion 1
vodVideoId 8hqX5VM_WZY
timeOffset 2507

0 cueVideo pciiNpfPnTQ
1800 play 23
4236 pause 2451
5008 sync 2451
6422 play 2712
10009 sync 6298
10066 changePlaybackRate 1.5 6453
12878 pause 10518
15009 sync 10518
15424 seek 10922
15424 play 10929
17419 pause 248641
17425 seek 248641
18946 play 248662
20009 sync 250181
25001 sync 257678
26963 pause 268090
26968 seek 268090
27358 play 268365
28575 pause 270192
29968 seek 262692
30009 sync 262692
30891 play 262971
34349 pause 268158
35001 sync 268158
36425 play 268563
36432 seek 268573
40002 sync 273929
40144 pause 274108
42232 seek 266608
43015 play 266891
45002 sync 269872
45652 pause 270848
48465 seek 270814
49664 seek 270798
50002 sync 270798
50713 seek 270781
51752 seek 270764
52817 seek 270748
53841 seek 270731
54921 seek 270714
55009 sync 270714
56009 seek 270698
57225 seek 270681
58121 seek 270664
59089 seek 270648
60001 sync 270648
60041 seek 270631
61033 seek 270614
61976 seek 270598
62945 seek 270581
63897 seek 270564
64880 seek 270548
65008 sync 270548
65770 seek 270531
66657 seek 270514
67472 seek 270498
68409 seek 270481
69423 play 270589
70009 sync 271471
72165 changePlaybackRate 1 274660
74625 pause 675970
74633 seek 675970
75009 sync 675970
76225 play 676173
77525 pause 677460
80002 sync 677460
80316 play 677733
83868 pause 681275
85009 sync 681275
87112 play 681534
88016 pause 960264
88016 seek 960264
89886 play 960287
90008 sync 960409
94653 changePlaybackRate 0.5 965000
95010 sync 965182
100010 sync 967682
100415 changePlaybackRate 1.5 968080
105009 sync 974793
105663 pause 1206660
105665 seek 1206660
106299 play 1206950
110010 sync 1212514
111409 seek 1262976
111409 pause 1262976
112072 play 1263000
114436 pause 1266480
115010 sync 1266480
